Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
115,All Japan Pro Wrestling,"Maebashi, Gunma, Japan",Yamada Green Dome,2014-11-24,AJPW Real World Tag League 2014 - Tag 6,685,https://www.cagematch.net/?id=1&nr=120619
116,All Japan Pro Wrestling,"Nagano, Japan",Nagano NBS Hall,2014-11-23,AJPW Real World Tag League 2014 - Tag 5,274,https://www.cagematch.net/?id=1&nr=120615
117,All Japan Pro Wrestling,"Chiba, Japan",Chiba Blue Field,2014-11-22,AJPW Real World Tag League 2014 - Tag 4,217,https://www.cagematch.net/?id=1&nr=120555
118,All Japan Pro Wrestling,"Fukushima, Japan",Fukushima Kokutai Memorial Gymnasium,2014-11-20,AJPW Real World Tag League 2014 - Tag 3,184,https://www.cagematch.net/?id=1&nr=120480
119,All Japan Pro Wrestling,"Aizuwakamatsu, Fukushima, Japan",Aizuwakamatsu Renaissance Nakanoshima,2014-11-19,AJPW Real World Tag League 2014 - Tag 2,229,https://www.cagematch.net/?id=1&nr=120413
120,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2014-11-16,AJPW Real World Tag League 2014 - Tag 1,"ca, 1,409",https://www.cagematch.net/?id=1&nr=120335
121,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2014-12-14,AJPW Kyohei Wada Referee 40th Anniversary & 60th Anniversary Show ~ Kyohei Wada Produce,"1,111",https://www.cagematch.net/?id=1&nr=121389
122,All Japan Pro Wrestling,"Osaka, Japan",Bodymaker Colosseum,2014-12-06,AJPW Real World Tag League 2014 - Tag 11,"1,688",https://www.cagematch.net/?id=1&nr=121045
123,All Japan Pro Wrestling,"Nagoya, Aichi, Japan",Nagoya Congress Center,2014-12-05,AJPW Real World Tag League 2014 - Tag 10,467,https://www.cagematch.net/?id=1&nr=121044
124,All Japan Pro Wrestling,"Toyooka, Hyogo, Japan",Toyooka Civic Gymnasium,2014-12-04,AJPW Real World Tag League 2014 - Tag 9,412,https://www.cagematch.net/?id=1&nr=121043
125,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2015-01-31,AJPW Giant Baba 17th Death Anniversary Special Event,"1,711",https://www.cagematch.net/?id=1&nr=124117
126,All Japan Pro Wrestling,"Hatoyama, Saitama, Japan",Hatoyama Central Community Center,2015-01-24,AJPW Charity Hatoyama Event ~ Suwamachi Revitalization Vol. 6,"ca, 516",https://www.cagematch.net/?id=1&nr=123815
127,All Japan Pro Wrestling,"Osaka, Japan",Yodogawa Kumin Center,2015-01-12,AJPW Charity Jusou Event ~ Suwamachi Revitalization Vol. 5,613,https://www.cagematch.net/?id=1&nr=123126
128,All Japan Pro Wrestling,"Nagoya, Aichi, Japan",Nagoya Nakamura Sports Center,2015-01-11,AJPW New Year Wars 2015 - Tag 5,413,https://www.cagematch.net/?id=1&nr=123125
129,All Japan Pro Wrestling,"Kawaguchi, Saitama, Japan",Kawaguchi Industrial Technology Center,2015-01-10,AJPW New Year Wars 2015 - Tag 4,Attendance not available.,https://www.cagematch.net/?id=1&nr=122999
130,All Japan Pro Wrestling,"Shirakawa, Fukushima, Japan",Shirakawa Central Gymnasium,2015-01-07,AJPW New Year Wars 2015 - Tag 3,246,https://www.cagematch.net/?id=1&nr=122866
131,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2015-01-03,AJPW New Year Wars 2015 - Tag 2,"1,431",https://www.cagematch.net/?id=1&nr=122741
132,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2015-01-02,AJPW New Year Wars 2015 - Tag 1,"1,017",https://www.cagematch.net/?id=1&nr=122728
133,All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2015-02-20,AJPW Excite Series 2015 - Tag 9,896,https://www.cagematch.net/?id=1&nr=125265
134,All Japan Pro Wrestling,"Nagoya, Aichi, Japan",Nakamura Sports Center First Stadium,2015-02-17,AJPW Excite Series 2015 - Tag 8,523,https://www.cagematch.net/?id=1&nr=125010
135,All Japan Pro Wrestling,"Kanazawa, Ishikawa, Japan",Kanazawa Distribution Hall,2015-02-16,AJPW Excite Series 2015 - Tag 7,301,https://www.cagematch.net/?id=1&nr=124998
136,All Japan Pro Wrestling,"Chiba, Japan",Chiba Blue Field,2015-02-14,AJPW Excite Series 2015 - Tag 6 ~ Chiba EXTRA DREAM 6 ~ Valentine's Day Special,168,https://www.cagematch.net/?id=1&nr=124777
