Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
74,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
75,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-12,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 7,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177655
76,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2003-05-11,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 6,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177654
77,All Japan Pro Wrestling,"Sendai, Miyagi, Japan",Zepp Sendai,2003-05-05,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 5,740,https://www.cagematch.net/?id=1&nr=177653
78,All Japan Pro Wrestling,"Sapporo, Hokkaido, Japan",Zepp Sapporo,2003-05-03,AJPW BAPESTA Pro Wrestling Zepp Tour 2003 - Tag 4,630,https://www.cagematch.net/?id=1&nr=177652
79,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
80,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
81,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
82,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
83,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
84,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
85,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
86,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
87,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
88,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
89,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
90,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
91,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
92,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
93,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
94,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
95,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
96,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
97,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
98,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
99,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
100,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
101,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
102,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
