Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
99,New Japan Pro Wrestling,"Maibara, Shiga, Japan",Shiga Prefectural Cultural Industry Community House Event Hall,2023-03-12,NJPW New Japan Cup 2023 - Tag 6,789,https://www.cagematch.net/?id=1&nr=361611
100,New Japan Pro Wrestling,"Nagoya, Aichi, Japan",Aichi Prefectural Gymnasium,2023-03-11,NJPW New Japan Cup 2023 - Tag 5,"2,190",https://www.cagematch.net/?id=1&nr=361610
101,New Japan Pro Wrestling,"Kofu, Yamanashi, Japan",Aimesse Yamanashi,2023-03-10,NJPW New Japan Cup 2023 - Tag 4,710,https://www.cagematch.net/?id=1&nr=361608
102,New Japan Pro Wrestling,"Koriyama, Fukushima, Japan",Big Palette Fukushima,2023-03-08,NJPW New Japan Cup 2023 - Tag 3,720,https://www.cagematch.net/?id=1&nr=361607
103,New Japan Pro Wrestling,"Tokyo, Japan",Ota City General Gymnasium,2023-03-06,NJPW 51st Anniversary Event & New Japan Cup 2023 - Tag 2,"2,020",https://www.cagematch.net/?id=1&nr=360093
104,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-03-05,NJPW New Japan Cup 2023 - Tag 1,"1,371",https://www.cagematch.net/?id=1&nr=360770
105,New Japan Pro Wrestling,"Mashiki, Kumamoto, Japan",Gran Messe Kumamoto,2023-04-30,NJPW Road To Wrestling Dontaku 2023 - Tag 7,"1,655",https://www.cagematch.net/?id=1&nr=362541
106,New Japan Pro Wrestling,"Kagoshima, Japan",Kagoshima Arena,2023-04-29,NJPW Wrestling Satsuma no Kuni 2023,"2,120",https://www.cagematch.net/?id=1&nr=362543
107,New Japan Pro Wrestling,"Hiroshima, Japan",Hiroshima Sun Plaza,2023-04-27,NJPW Road To Wrestling Dontaku 2023 - Tag 6,"1,614",https://www.cagematch.net/?id=1&nr=362540
108,New Japan Pro Wrestling,"Yawatahama, Ehime, Japan",Yawatahama Citizen Sports Center,2023-04-26,NJPW Road To Wrestling Dontaku 2023 - Tag 5,504,https://www.cagematch.net/?id=1&nr=362539
109,New Japan Pro Wrestling,"Kochi, Japan",Kochi Prefectural Gymnasium,2023-04-25,NJPW Road To Wrestling Dontaku 2023 - Tag 4,663,https://www.cagematch.net/?id=1&nr=362538
110,New Japan Pro Wrestling,"Osaka, Japan",EDION Arena Osaka #2,2023-04-23,NJPW Road To Wrestling Dontaku 2023 - Tag 3,881,https://www.cagematch.net/?id=1&nr=362537
111,New Japan Pro Wrestling,"Tsu, Mie, Japan",Tsu City Sangyo Sports Center Saorina,2023-04-22,NJPW Hirooki Goto 20th Anniversary Event,"1,753",https://www.cagematch.net/?id=1&nr=361624
112,New Japan Pro Wrestling,"Kobe, Hyogo, Japan",Kobe Sambo Hall,2023-04-21,NJPW Road To Wrestling Dontaku 2023 - Tag 2,"1,251",https://www.cagematch.net/?id=1&nr=361625
113,New Japan Pro Wrestling,"Nara, Japan",Nara Convention Center,2023-04-20,NJPW Road To Wrestling Dontaku 2023 - Tag 1,712,https://www.cagematch.net/?id=1&nr=362536
114,New Japan Pro Wrestling,"Tokyo, Japan",Ryogoku Kokugikan,2023-04-08,NJPW Sakura Genesis 2023,"6,510",https://www.cagematch.net/?id=1&nr=360094
115,New Japan Pro Wrestling,"Tokorozawa, Saitama, Japan",Tokorozawa Citizen Gymnasium,2023-04-06,NJPW Road To Sakura Genesis 2023 - Tag 5,711,https://www.cagematch.net/?id=1&nr=361626
116,New Japan Pro Wrestling,"Shizuoka, Japan",Twin Messe Shizuoka,2023-04-04,NJPW Road To Sakura Genesis 2023 - Tag 4,559,https://www.cagematch.net/?id=1&nr=361622
117,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-04-03,NJPW Road To Sakura Genesis 2023 - Tag 3,902,https://www.cagematch.net/?id=1&nr=361621
118,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-04-02,NJPW Road To Sakura Genesis 2023 - Tag 2,"1,298",https://www.cagematch.net/?id=1&nr=361620
119,New Japan Pro Wrestling,"Hiratsuka, Kanagawa, Japan",Tokkei Security Hiratsuka General Gymnasium,2023-04-01,NJPW Road To Sakura Genesis 2023 - Tag 1,"1,260",https://www.cagematch.net/?id=1&nr=361619
120,New Japan Pro Wrestling,"Tokyo, Japan",Ota City General Gymnasium,2023-05-28,NJPW Best Of The Super Junior 30 - Tag 12,"3,132",https://www.cagematch.net/?id=1&nr=363722
121,New Japan Pro Wrestling,"Tokyo, Japan",Yoyogi National Gymnasium #2,2023-05-26,NJPW Best Of The Super Junior 30 - Tag 11,"1,330",https://www.cagematch.net/?id=1&nr=363721
122,New Japan Pro Wrestling,"Osaka, Japan",EDION Arena Osaka #2,2023-05-24,NJPW Best Of The Super Junior 30 - Tag 10,819,https://www.cagematch.net/?id=1&nr=363719
123,New Japan Pro Wrestling,"Osaka, Japan",EDION Arena Osaka #2,2023-05-23,NJPW Best Of The Super Junior 30 - Tag 9,831,https://www.cagematch.net/?id=1&nr=363718
124,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-05-21,NJPW Best Of The Super Junior 30 - Tag 8,"1,436",https://www.cagematch.net/?id=1&nr=363717
125,New Japan Pro Wrestling,"Aomori, Japan",New Aomori Prefecture Sports Park Maeda Arena - Sub Arena,2023-05-19,NJPW Best Of The Super Junior 30 - Tag 7,"1,196",https://www.cagematch.net/?id=1&nr=363716
126,New Japan Pro Wrestling,"Morioka, Iwate, Japan",Iwate Prefectural Gymnasium,2023-05-18,NJPW Best Of The Super Junior 30 - Tag 6,"1,004",https://www.cagematch.net/?id=1&nr=363715
127,New Japan Pro Wrestling,"Sendai, Miyagi, Japan",Sendai Sun Plaza,2023-05-17,NJPW Best Of The Super Junior 30 - Tag 5,"1,075",https://www.cagematch.net/?id=1&nr=363714
128,New Japan Pro Wrestling,"Akita, Japan",Akita Prefectural Budokan,2023-05-16,NJPW Best Of The Super Junior 30 - Tag 4,762,https://www.cagematch.net/?id=1&nr=363711
